"species","seedheads","lma","fwc","lwr"
"venusta",50,0.028952206,1.69047619,2.993630573
"venusta",0,0.02027575,1.92,3.075524476
"venusta",0,0.024242424,1.473684211,3.472422062
"venusta",1,0.031412376,1.563909774,2.649230769
"punctata",630,0.031240038,1.017006803,2.256734007
"venusta",45,0.022435148,1.697916667,2.872367581
"punctata",50,0.027017975,1.08677686,1.784828592
"venusta",82,0.025920873,1.663157895,3.197202797
"punctata",0,0.026682135,1.245059289,1.676646707
"venusta",22,0.036252546,1.280898876,3.570621469
"punctata",25,0.032485359,1.064788732,2.596550273
"venusta",0,0.019047619,1.95,2.787253142
"punctata",13,0.030753968,1.146401985,2.145531614
"venusta",0,0.025794565,1.553571429,2.831114809
"punctata",30,0.028977431,1.211538462,1.615354789
"venusta",28,0.026885395,1.652542373,2.910447761
"punctata",16,0.029966497,1.281573499,2.436817473
"punctata",6,0.029043565,1.25862069,2.567449956
"venusta",0,0.021677419,1.619047619,2.836979534
"punctata",52,0.024400648,1.807692308,2.504743083
